# z cos(z) sin(z) qspline qsplineInteg qsplineDeriv -sin(z)
7.46 0.383868 0.923388 0.376362 0.914666 -0.74938 -0.923388
7.48 0.365325 0.93088 0.361437 0.922044 -0.743174 -0.93088
7.5 0.346635 0.938 0.346635 0.929124 -0.736969 -0.938
7.52 0.327807 0.944745 0.331698 0.935908 -0.756753 -0.944745
7.54 0.308848 0.951111 0.316365 0.94239 -0.776538 -0.951111
7.56 0.289765 0.957098 0.300637 0.94856 -0.796322 -0.957098
7.58 0.270567 0.962701 0.284512 0.954412 -0.816106 -0.962701
7.6 0.25126 0.96792 0.267992 0.959938 -0.83589 -0.96792
7.62 0.231852 0.972751 0.251077 0.965129 -0.855674 -0.972751
7.64 0.212352 0.977193 0.233765 0.969978 -0.875458 -0.977193
7.66 0.192767 0.981244 0.216058 0.974477 -0.895242 -0.981244
7.68 0.173105 0.984903 0.197956 0.978618 -0.915026 -0.984903
7.7 0.153374 0.988168 0.179457 0.982393 -0.93481 -0.988168
7.72 0.133581 0.991038 0.160563 0.985794 -0.954595 -0.991038
7.74 0.113735 0.993511 0.141274 0.988813 -0.974379 -0.993511
7.76 0.0938433 0.995587 0.121588 0.991442 -0.994163 -0.995587
7.78 0.0739142 0.997265 0.101507 0.993674 -1.01395 -0.997265
7.8 0.0539554 0.998543 0.0810303 0.9955 -1.03373 -0.998543
7.82 0.0339751 0.999423 0.0601578 0.996912 -1.05352 -0.999423
7.84 0.0139812 0.999902 0.0388897 0.997903 -1.0733 -0.999902
7.86 -0.00601833 0.999982 0.0172258 0.998465 -1.09308 -0.999982
7.88 -0.0260154 0.999662 -0.00483366 0.99859 -1.11287 -0.999662
7.9 -0.0460021 0.998941 -0.0272889 0.998269 -1.13265 -0.998941
7.92 -0.0659704 0.997822 -0.0501397 0.997496 -1.15244 -0.997822
7.94 -0.0859123 0.996303 -0.0733863 0.996261 -1.17222 -0.996303
7.96 -0.10582 0.994385 -0.0970285 0.994558 -1.192 -0.994385
7.98 -0.125685 0.99207 -0.121066 0.992377 -1.21179 -0.99207
8 -0.1455 0.989358 -0.1455 0.989712 -1.23157 -0.989358
8.02 -0.165257 0.986251 -0.169877 0.986558 -1.20609 -0.986251
8.04 -0.184947 0.982748 -0.193744 0.982921 -1.1806 -0.982748
8.06 -0.204564 0.978853 -0.217101 0.978811 -1.15512 -0.978853
8.08 -0.224099 0.974566 -0.239948 0.97424 -1.12964 -0.974566
8.1 -0.243544 0.96989 -0.262286 0.969217 -1.10415 -0.96989
8.12 -0.262892 0.964825 -0.284114 0.963752 -1.07867 -0.964825
8.14 -0.282135 0.959375 -0.305433 0.957856 -1.05319 -0.959375
8.16 -0.301264 0.953541 -0.326242 0.951538 -1.0277 -0.953541
8.18 -0.320274 0.947325 -0.346541 0.944809 -1.00222 -0.947325
8.2 -0.339155 0.940731 -0.366331 0.93768 -0.976733 -0.940731
8.22 -0.3579 0.93376 -0.38561 0.930159 -0.95125 -0.93376
8.24 -0.376503 0.926415 -0.404381 0.922259 -0.925766 -0.926415
8.26 -0.394955 0.918701 -0.422641 0.913988 -0.900282 -0.918701
8.28 -0.413248 0.910618 -0.440392 0.905356 -0.874798 -0.910618
8.3 -0.431377 0.902172 -0.457633 0.896375 -0.849314 -0.902172
8.32 -0.449333 0.893364 -0.474364 0.887055 -0.82383 -0.893364
8.34 -0.467109 0.8842 -0.490586 0.877404 -0.798346 -0.8842
8.36 -0.484698 0.874681 -0.506298 0.867435 -0.772862 -0.874681
8.38 -0.502094 0.864813 -0.521501 0.857156 -0.747379 -0.864813
8.4 -0.519289 0.854599 -0.536193 0.846578 -0.721895 -0.854599
8.42 -0.536276 0.844043 -0.550376 0.835711 -0.696411 -0.844043
8.44 -0.553048 0.833149 -0.56405 0.824566 -0.670927 -0.833149
8.46 -0.569599 0.821922 -0.577214 0.813153 -0.645443 -0.821922
8.48 -0.585923 0.810367 -0.589868 0.801481 -0.619959 -0.810367
8.5 -0.602012 0.798487 -0.602012 0.789561 -0.594475 -0.798487
8.52 -0.61786 0.786288 -0.61392 0.777402 -0.596376 -0.786288
8.54 -0.633461 0.773774 -0.625867 0.765004 -0.598277 -0.773774
8.56 -0.648809 0.760951 -0.637852 0.752367 -0.600178 -0.760951
8.58 -0.663897 0.747824 -0.649874 0.73949 -0.602079 -0.747824
8.6 -0.67872 0.734397 -0.661935 0.726372 -0.60398 -0.734397
8.62 -0.693271 0.720677 -0.674033 0.713012 -0.605881 -0.720677
8.64 -0.707545 0.706668 -0.68617 0.69941 -0.607782 -0.706668
8.66 -0.721536 0.692377 -0.698345 0.685565 -0.609683 -0.692377
8.68 -0.735238 0.677809 -0.710557 0.671476 -0.611584 -0.677809
8.7 -0.748647 0.662969 -0.722808 0.657143 -0.613484 -0.662969
8.72 -0.761755 0.647865 -0.735097 0.642564 -0.615385 -0.647865
8.74 -0.77456 0.632501 -0.747423 0.627739 -0.617286 -0.632501
8.76 -0.787054 0.616884 -0.759788 0.612667 -0.619187 -0.616884
8.78 -0.799233 0.601021 -0.772191 0.597347 -0.621088 -0.601021
8.8 -0.811093 0.584917 -0.784632 0.581779 -0.622989 -0.584917
8.82 -0.822628 0.568579 -0.79711 0.565961 -0.62489 -0.568579
8.84 -0.833835 0.552014 -0.809627 0.549894 -0.626791 -0.552014
8.86 -0.844707 0.535228 -0.822182 0.533576 -0.628692 -0.535228
8.88 -0.855242 0.518228 -0.834775 0.517007 -0.630593 -0.518228
8.9 -0.865435 0.501021 -0.847406 0.500185 -0.632494 -0.501021
8.92 -0.875282 0.483613 -0.860075 0.48311 -0.634394 -0.483613
8.94 -0.884778 0.466012 -0.872781 0.465782 -0.636295 -0.466012
8.96 -0.893921 0.448224 -0.885526 0.448199 -0.638196 -0.448224
8.98 -0.902706 0.430257 -0.898309 0.43036 -0.640097 -0.430257
9 -0.91113 0.412118 -0.91113 0.412266 -0.641998 -0.412118
