# z cos(z) sin(z) qspline qsplineInteg qsplineDeriv -sin(z)
1.74 -0.168397 0.985719 -0.140998 0.98102 -0.966727 -0.985719
1.76 -0.188077 0.982154 -0.160474 0.978006 -0.980809 -0.982154
1.78 -0.207681 0.978197 -0.180231 0.9746 -0.994892 -0.978197
1.8 -0.227202 0.973848 -0.200269 0.970795 -1.00897 -0.973848
1.82 -0.246632 0.969109 -0.22059 0.966587 -1.02306 -0.969109
1.84 -0.265964 0.963983 -0.241192 0.96197 -1.03714 -0.963983
1.86 -0.285189 0.958471 -0.262075 0.956937 -1.05122 -0.958471
1.88 -0.3043 0.952576 -0.283241 0.951485 -1.0653 -0.952576
1.9 -0.32329 0.9463 -0.304687 0.945606 -1.07939 -0.9463
1.92 -0.34215 0.939645 -0.326416 0.939295 -1.09347 -0.939645
1.94 -0.360873 0.932615 -0.348426 0.932547 -1.10755 -0.932615
1.96 -0.379452 0.925212 -0.370718 0.925356 -1.12164 -0.925212
1.98 -0.397879 0.917438 -0.393292 0.917717 -1.13572 -0.917438
2 -0.416147 0.909297 -0.416147 0.909623 -1.1498 -0.909297
2.02 -0.434248 0.900793 -0.438839 0.901072 -1.11942 -0.900793
2.04 -0.452176 0.891929 -0.460923 0.892073 -1.08903 -0.891929
2.06 -0.469923 0.882707 -0.4824 0.882639 -1.05865 -0.882707
2.08 -0.487482 0.873133 -0.503269 0.872781 -1.02826 -0.873133
2.1 -0.504846 0.863209 -0.523531 0.862512 -0.997878 -0.863209
2.12 -0.522008 0.85294 -0.543184 0.851844 -0.967493 -0.85294
2.14 -0.538961 0.84233 -0.56223 0.840789 -0.937109 -0.84233
2.16 -0.555699 0.831383 -0.580669 0.829359 -0.906724 -0.831383
2.18 -0.572215 0.820104 -0.598499 0.817566 -0.87634 -0.820104
2.2 -0.588501 0.808496 -0.615722 0.805423 -0.845955 -0.808496
2.22 -0.604552 0.796565 -0.632338 0.792941 -0.81557 -0.796565
2.24 -0.620362 0.784316 -0.648345 0.780134 -0.785186 -0.784316
2.26 -0.635923 0.771753 -0.663745 0.767012 -0.754801 -0.771753
2.28 -0.65123 0.758881 -0.678537 0.753588 -0.724417 -0.758881
