# z cos(z) sin(z) linterp linterpInteg
1.34 0.228753 0.973485 0.220998 0.953288
1.36 0.209239 0.977865 0.202215 0.95752
1.38 0.189641 0.981854 0.183433 0.961377
1.4 0.169967 0.98545 0.16465 0.964857
1.42 0.150225 0.988652 0.145868 0.967963
1.44 0.130424 0.991458 0.127085 0.970692
1.46 0.11057 0.993868 0.108302 0.973046
1.48 0.0906716 0.995881 0.0895198 0.975024
1.5 0.0707372 0.997495 0.0707372 0.976627
1.52 0.0507745 0.99871 0.0512618 0.977847
1.54 0.0307915 0.999526 0.0317865 0.978677
1.56 0.0107961 0.999942 0.0123111 0.979118
1.58 -0.00920354 0.999958 -0.00716424 0.97917
1.6 -0.0291995 0.999574 -0.0266396 0.978832
1.62 -0.0491838 0.99879 -0.046115 0.978104
1.64 -0.0691484 0.997606 -0.0655903 0.976987
1.66 -0.0890854 0.996024 -0.0850657 0.97548
1.68 -0.108987 0.994043 -0.104541 0.973584
1.7 -0.128844 0.991665 -0.124016 0.971299
1.72 -0.148651 0.98889 -0.143492 0.968624
1.74 -0.168397 0.985719 -0.162967 0.965559
1.76 -0.188077 0.982154 -0.182442 0.962105
1.78 -0.207681 0.978197 -0.201918 0.958261
1.8 -0.227202 0.973848 -0.221393 0.954028
1.82 -0.246632 0.969109 -0.240869 0.949406
1.84 -0.265964 0.963983 -0.260344 0.944394
1.86 -0.285189 0.958471 -0.279819 0.938992
1.88 -0.3043 0.952576 -0.299295 0.933201
1.9 -0.32329 0.9463 -0.31877 0.92702
1.92 -0.34215 0.939645 -0.338245 0.92045
1.94 -0.360873 0.932615 -0.357721 0.91349
1.96 -0.379452 0.925212 -0.377196 0.906141
1.98 -0.397879 0.917438 -0.396671 0.898403
2 -0.416147 0.909297 -0.416147 0.890274
2.02 -0.434248 0.900793 -0.431547 0.881797
2.04 -0.452176 0.891929 -0.446947 0.873012
2.06 -0.469923 0.882707 -0.462346 0.86392
2.08 -0.487482 0.873133 -0.477746 0.854519
2.1 -0.504846 0.863209 -0.493146 0.84481
2.12 -0.522008 0.85294 -0.508546 0.834793
2.14 -0.538961 0.84233 -0.523946 0.824468
2.16 -0.555699 0.831383 -0.539346 0.813835
2.18 -0.572215 0.820104 -0.554746 0.802894
2.2 -0.588501 0.808496 -0.570146 0.791645
2.22 -0.604552 0.796565 -0.585545 0.780088
2.24 -0.620362 0.784316 -0.600945 0.768223
2.26 -0.635923 0.771753 -0.616345 0.75605
2.28 -0.65123 0.758881 -0.631745 0.743569
2.3 -0.666276 0.745705 -0.647145 0.730781
2.32 -0.681056 0.732231 -0.662545 0.717684
2.34 -0.695563 0.718465 -0.677945 0.704279
2.36 -0.709793 0.704411 -0.693345 0.690566
2.38 -0.723738 0.690075 -0.708744 0.676545
2.4 -0.737394 0.675463 -0.724144 0.662216
2.42 -0.750755 0.660581 -0.739544 0.647579
2.44 -0.763815 0.645435 -0.754944 0.632634
2.46 -0.77657 0.630031 -0.770344 0.617381
2.48 -0.789015 0.614374 -0.785744 0.601821
2.5 -0.801144 0.598472 -0.801144 0.585952
2.52 -0.812952 0.582331 -0.808698 0.569853
2.54 -0.824435 0.565956 -0.816252 0.553604
2.56 -0.835589 0.549355 -0.823805 0.537203
2.58 -0.846408 0.532535 -0.831359 0.520652
2.6 -0.856889 0.515501 -0.838913 0.503949
2.62 -0.867027 0.498262 -0.846467 0.487095
2.64 -0.876818 0.480823 -0.854021 0.47009
2.66 -0.886258 0.463191 -0.861575 0.452934
2.68 -0.895344 0.445375 -0.869129 0.435627
2.7 -0.904072 0.42738 -0.876683 0.418169
2.72 -0.912438 0.409214 -0.884237 0.40056
2.74 -0.92044 0.390885 -0.891791 0.3828
2.76 -0.928073 0.372399 -0.899345 0.364888
2.78 -0.935335 0.353764 -0.906899 0.346826
2.8 -0.942222 0.334988 -0.914453 0.328612
2.82 -0.948733 0.316078 -0.922007 0.310248
2.84 -0.954865 0.297041 -0.929561 0.291732
2.86 -0.960614 0.277886 -0.937115 0.273065
2.88 -0.965979 0.258619 -0.944669 0.254247
2.9 -0.970958 0.239249 -0.952223 0.235278
2.92 -0.975549 0.219784 -0.959777 0.216158
2.94 -0.979749 0.20023 -0.967331 0.196887
2.96 -0.983557 0.180596 -0.974885 0.177465
2.98 -0.986972 0.16089 -0.982439 0.157892
3 -0.989992 0.14112 -0.989992 0.138168
