# x exact all by_neuron by_set random_subset
-0.52 -0.684293 -0.684794 -0.677745 -0.690666 -0.69657
-0.515 -0.696113 -0.696565 -0.689561 -0.702784 -0.710295
-0.51 -0.707565 -0.707966 -0.701069 -0.714505 -0.723644
-0.505 -0.718636 -0.718983 -0.712257 -0.725813 -0.7366
-0.5 -0.729313 -0.729604 -0.72311 -0.736695 -0.749144
-0.495 -0.739585 -0.739817 -0.733616 -0.747139 -0.76126
-0.49 -0.749438 -0.749611 -0.743761 -0.757132 -0.772931
-0.485 -0.758863 -0.758975 -0.753532 -0.766662 -0.78414
-0.48 -0.767846 -0.767897 -0.762914 -0.775718 -0.794871
-0.475 -0.776378 -0.776367 -0.771895 -0.784287 -0.805109
-0.47 -0.784447 -0.784374 -0.78046 -0.792359 -0.814839
-0.465 -0.792043 -0.791908 -0.788597 -0.799925 -0.824044
-0.46 -0.799156 -0.798959 -0.796291 -0.806974 -0.832712
-0.455 -0.805775 -0.805518 -0.803528 -0.813497 -0.840828
-0.45 -0.811892 -0.811575 -0.810296 -0.819486 -0.848378
-0.445 -0.817498 -0.817123 -0.816582 -0.824933 -0.855349
-0.44 -0.822582 -0.822152 -0.822373 -0.829829 -0.86173
-0.435 -0.827138 -0.826654 -0.827655 -0.834168 -0.867507
-0.43 -0.831158 -0.830622 -0.832417 -0.837943 -0.872671
-0.425 -0.834633 -0.834048 -0.836647 -0.841149 -0.87721
-0.42 -0.837558 -0.836927 -0.840332 -0.84378 -0.881115
-0.415 -0.839924 -0.839251 -0.843463 -0.845832 -0.884376
-0.41 -0.841726 -0.841014 -0.846027 -0.847299 -0.886984
-0.405 -0.842959 -0.842211 -0.848015 -0.848179 -0.888932
-0.4 -0.843616 -0.842837 -0.849416 -0.848469 -0.890212
-0.395 -0.843693 -0.842887 -0.850222 -0.848165 -0.890818
-0.39 -0.843186 -0.842356 -0.850425 -0.847265 -0.890744
-0.385 -0.842091 -0.841242 -0.850014 -0.845769 -0.889984
-0.38 -0.840405 -0.839541 -0.848985 -0.843675 -0.888536
-0.375 -0.838123 -0.83725 -0.847329 -0.840983 -0.886394
-0.37 -0.835245 -0.834366 -0.845041 -0.837692 -0.883556
-0.365 -0.831769 -0.830889 -0.842116 -0.833804 -0.880021
-0.36 -0.827692 -0.826816 -0.838548 -0.82932 -0.875787
-0.355 -0.823015 -0.822146 -0.834334 -0.82424 -0.870854
-0.35 -0.817736 -0.81688 -0.829472 -0.818568 -0.865223
-0.345 -0.811856 -0.811018 -0.823959 -0.812305 -0.858893
-0.34 -0.805376 -0.804559 -0.817793 -0.805454 -0.851869
-0.335 -0.798297 -0.797506 -0.810975 -0.79802 -0.844151
-0.33 -0.790621 -0.789859 -0.803504 -0.790005 -0.835745
-0.325 -0.78235 -0.781622 -0.795382 -0.781415 -0.826654
-0.32 -0.773486 -0.772796 -0.786611 -0.772253 -0.816885
-0.315 -0.764035 -0.763386 -0.777194 -0.762524 -0.806442
-0.31 -0.753998 -0.753394 -0.767133 -0.752235 -0.795332
-0.305 -0.743382 -0.742825 -0.756435 -0.741391 -0.783564
-0.3 -0.73219 -0.731683 -0.745105 -0.729998 -0.771146
-0.295 -0.720429 -0.719975 -0.733148 -0.718063 -0.758086
-0.29 -0.708104 -0.707705 -0.720573 -0.705593 -0.744395
-0.285 -0.695222 -0.69488 -0.707386 -0.692594 -0.730084
-0.28 -0.68179 -0.681507 -0.693597 -0.679075 -0.715163
-0.275 -0.667816 -0.667594 -0.679216 -0.665043 -0.699644
-0.27 -0.653308 -0.653147 -0.664253 -0.650506 -0.683541
-0.265 -0.638274 -0.638175 -0.648718 -0.635474 -0.666867
-0.26 -0.622724 -0.622688 -0.632625 -0.619955 -0.649635
-0.255 -0.606668 -0.606693 -0.615985 -0.603958 -0.63186
-0.25 -0.590115 -0.590202 -0.598812 -0.587492 -0.613558
-0.245 -0.573075 -0.573225 -0.581119 -0.570567 -0.594744
-0.24 -0.555561 -0.555771 -0.562922 -0.553194 -0.575435
-0.235 -0.537584 -0.537853 -0.544236 -0.535383 -0.555647
-0.23 -0.519155 -0.519482 -0.525077 -0.517144 -0.535398
-0.225 -0.500287 -0.50067 -0.50546 -0.498487 -0.514706
-0.22 -0.480993 -0.48143 -0.485403 -0.479426 -0.493589
-0.215 -0.461287 -0.461775 -0.464924 -0.45997 -0.472066
-0.21 -0.441181 -0.441718 -0.444039 -0.440132 -0.450156
-0.205 -0.420691 -0.421273 -0.422768 -0.419923 -0.427879
-0.2 -0.399829 -0.400454 -0.401129 -0.399357 -0.405254
-0.195 -0.378613 -0.379276 -0.37914 -0.378446 -0.382301
-0.19 -0.357056 -0.357754 -0.356822 -0.357202 -0.359041
-0.185 -0.335174 -0.335904 -0.334194 -0.33564 -0.335496
-0.18 -0.312983 -0.31374 -0.311275 -0.313772 -0.311684
-0.175 -0.290499 -0.29128 -0.288086 -0.291613 -0.287629
-0.17 -0.26774 -0.268539 -0.264647 -0.269177 -0.263351
-0.165 -0.244721 -0.245535 -0.240978 -0.246478 -0.238872
-0.16 -0.22146 -0.222284 -0.217099 -0.223531 -0.214212
-0.155 -0.197974 -0.198804 -0.193032 -0.200352 -0.189395
-0.15 -0.17428 -0.175112 -0.168796 -0.176955 -0.164441
-0.145 -0.150398 -0.151226 -0.144412 -0.153356 -0.139372
-0.14 -0.126344 -0.127164 -0.119901 -0.129572 -0.11421
-0.135 -0.102137 -0.102945 -0.0952825 -0.105619 -0.0889771
-0.13 -0.077795 -0.0785868 -0.0705776 -0.0815125 -0.063694
-0.125 -0.0533372 -0.0541082 -0.0458063 -0.0572708 -0.0383828
-0.12 -0.0287821 -0.0295282 -0.0209886 -0.0329105 -0.0130646
-0.115 -0.00414843 -0.0048656 0.00385551 -0.00844916 0.0122392
-0.11 0.0205447 0.0198603 0.0287064 0.0160955 0.0375075
-0.105 0.0452784 0.0446303 0.0535446 0.0407056 0.0627194
-0.1 0.0700334 0.0694252 0.0783508 0.0653628 0.0878543
-0.095 0.0947905 0.0942253 0.103106 0.0900486 0.112892
-0.09 0.119531 0.119011 0.127792 0.114745 0.137811
-0.085 0.144234 0.143764 0.152389 0.139432 0.162593
-0.08 0.168883 0.168463 0.17688 0.164091 0.187218
-0.075 0.193456 0.19309 0.201247 0.188702 0.211666
-0.07 0.217936 0.217625 0.225472 0.213248 0.235919
-0.065 0.242303 0.242048 0.249538 0.237707 0.259958
-0.06 0.266538 0.26634 0.273429 0.262061 0.283764
-0.055 0.290621 0.290483 0.297128 0.286289 0.307321
-0.05 0.314535 0.314455 0.320618 0.310372 0.33061
-0.045 0.33826 0.33824 0.343884 0.334291 0.353614
-0.04 0.361778 0.361817 0.36691 0.358024 0.376318
-0.035 0.385071 0.385168 0.389681 0.381554 0.398704
-0.03 0.40812 0.408274 0.412183 0.404859 0.420757
-0.025 0.430907 0.431117 0.434401 0.42792 0.442462
-0.02 0.453415 0.453679 0.45632 0.450718 0.463805
-0.015 0.475625 0.475943 0.477928 0.473233 0.48477
-0.01 0.497521 0.497889 0.49921 0.495446 0.505344
-0.005 0.519086 0.519501 0.520153 0.517338 0.525515
0 0.540302 0.540763 0.540745 0.53889 0.545268
0.005 0.561154 0.561656 0.560973 0.560084 0.564592
0.01 0.581625 0.582165 0.580825 0.580901 0.583475
0.015 0.601699 0.602274 0.600288 0.601322 0.601905
0.02 0.621361 0.621967 0.619351 0.621332 0.619872
0.025 0.640596 0.641228 0.638003 0.640912 0.637366
0.03 0.659389 0.660043 0.656231 0.660045 0.654377
0.035 0.677726 0.678397 0.674026 0.678715 0.670895
0.04 0.695593 0.696277 0.691376 0.696905 0.686911
0.045 0.712976 0.713667 0.708271 0.714602 0.702418
0.05 0.729862 0.730556 0.724701 0.731788 0.717408
0.055 0.746239 0.74693 0.740655 0.748451 0.731873
0.06 0.762094 0.762778 0.756124 0.764575 0.745806
0.065 0.777415 0.778087 0.771097 0.780148 0.759202
0.07 0.792193 0.792846 0.785566 0.795157 0.772054
0.075 0.806414 0.807045 0.79952 0.80959 0.784356
0.08 0.82007 0.820672 0.812952 0.823435 0.796105
0.085 0.833151 0.83372 0.825852 0.836681 0.807295
0.09 0.845647 0.846177 0.838211 0.849318 0.817922
0.095 0.85755 0.858037 0.850022 0.861337 0.827984
0.1 0.86885 0.86929 0.861274 0.872728 0.837476
0.105 0.879542 0.879929 0.871962 0.883485 0.846395
0.11 0.889617 0.889947 0.882077 0.893598 0.854741
0.115 0.89907 0.899338 0.89161 0.903062 0.86251
0.12 0.907893 0.908097 0.900557 0.91187 0.869702
0.125 0.916081 0.916217 0.908908 0.920018 0.876315
0.13 0.923631 0.923695 0.916658 0.9275 0.882348
0.135 0.930536 0.930526 0.9238 0.934313 0.887801
0.14 0.936794 0.936706 0.930328 0.940453 0.892674
0.145 0.942401 0.942234 0.936236 0.945919 0.896968
0.15 0.947355 0.947107 0.94152 0.950708 0.900684
0.155 0.951654 0.951323 0.946174 0.95482 0.903821
0.16 0.955295 0.95488 0.950194 0.958255 0.906383
0.165 0.958279 0.95778 0.953575 0.961012 0.90837
0.17 0.960605 0.960022 0.956315 0.963092 0.909785
0.175 0.962272 0.961606 0.95841 0.964499 0.91063
0.18 0.963283 0.962534 0.959858 0.965233 0.910908
0.185 0.963637 0.962808 0.960656 0.965299 0.910622
0.19 0.963338 0.96243 0.960803 0.964699 0.909775
0.195 0.962388 0.961404 0.960298 0.963439 0.908371
0.2 0.960789 0.959734 0.959141 0.961522 0.906414
0.205 0.958546 0.957423 0.957333 0.958955 0.903908
0.21 0.955662 0.954476 0.954873 0.955744 0.900858
0.215 0.952143 0.9509 0.951765 0.951895 0.897268
0.22 0.947993 0.946699 0.948009 0.947416 0.893143
0.225 0.943218 0.94188 0.94361 0.942313 0.888489
0.23 0.937825 0.936451 0.938571 0.936596 0.883311
0.235 0.931819 0.930418 0.932896 0.930273 0.877616
0.24 0.92521 0.923791 0.926591 0.923353 0.871409
0.245 0.918004 0.916576 0.919662 0.915845 0.864696
0.25 0.910209 0.908783 0.912114 0.90776 0.857484
0.255 0.901835 0.900421 0.903956 0.899108 0.84978
0.26 0.89289 0.8915 0.895195 0.8899 0.841592
0.265 0.883385 0.882029 0.88584 0.880146 0.832925
0.27 0.873329 0.872018 0.875902 0.869859 0.823789
0.275 0.862733 0.861479 0.865389 0.859049 0.81419
0.28 0.851608 0.85042 0.854314 0.84773 0.804137
0.285 0.839965 0.838854 0.842687 0.835913 0.793639
0.29 0.827816 0.826791 0.830522 0.823611 0.782702
0.295 0.815174 0.814243 0.81783 0.810837 0.771338
0.3 0.80205 0.80122 0.804626 0.797604 0.759553
0.305 0.788458 0.787733 0.790923 0.783926 0.747358
0.31 0.77441 0.773795 0.776737 0.769816 0.734762
0.315 0.759921 0.759417 0.762083 0.755287 0.721774
0.32 0.745004 0.744611 0.746976 0.740354 0.708405
0.325 0.729674 0.729389 0.731433 0.725031 0.694664
0.33 0.713944 0.713764 0.71547 0.709332 0.680562
0.335 0.69783 0.697747 0.699105 0.693271 0.666109
0.34 0.681346 0.681353 0.682355 0.676863 0.651316
0.345 0.664507 0.664593 0.665238 0.660123 0.636194
0.35 0.647329 0.647483 0.647772 0.643065 0.620755
0.355 0.629828 0.630036 0.629975 0.625704 0.605008
0.36 0.61202 0.612267 0.611866 0.608054 0.588966
0.365 0.593919 0.594192 0.593464 0.590132 0.572641
0.37 0.575543 0.575826 0.574788 0.571951 0.556045
0.375 0.556908 0.557186 0.555856 0.553527 0.539189
0.38 0.538029 0.538289 0.536688 0.534875 0.522086
0.385 0.518924 0.519153 0.517302 0.516011 0.504748
0.39 0.499609 0.499795 0.497718 0.496948 0.487187
0.395 0.4801 0.480234 0.477955 0.477703 0.469418
0.4 0.460415 0.460489 0.458031 0.45829 0.451452
0.405 0.44057 0.440579 0.437965 0.438725 0.433302
0.41 0.420582 0.420523 0.417777 0.419022 0.414982
0.415 0.400467 0.400342 0.397483 0.399198 0.396504
0.42 0.380242 0.380053 0.377103 0.379267 0.377884
0.425 0.359924 0.359676 0.356655 0.359244 0.359133
0.43 0.33953 0.339231 0.336156 0.339143 0.340265
0.435 0.319076 0.318736 0.315623 0.318982 0.321295
0.44 0.298578 0.298209 0.295074 0.298773 0.302236
0.445 0.278054 0.277668 0.274526 0.278532 0.283102
0.45 0.25752 0.25713 0.253994 0.258274 0.263906
0.455 0.236991 0.236613 0.233496 0.238014 0.244664
0.46 0.216484 0.216132 0.213046 0.217766 0.225388
0.465 0.196014 0.195703 0.192661 0.197545 0.206093
0.47 0.175599 0.175341 0.172354 0.177365 0.186793
0.475 0.155252 0.15506 0.152142 0.15724 0.167502
0.48 0.134991 0.134875 0.132038 0.137186 0.148234
0.485 0.114829 0.114799 0.112055 0.117216 0.129004
0.49 0.0947814 0.0948446 0.092208 0.0973441 0.109824
0.495 0.0748637 0.0750252 0.0725095 0.0775843 0.0907095
0.5 0.0550902 0.0553531 0.0529721 0.0579503 0.0716739
0.505 0.035475 0.0358404 0.0336082 0.0384558 0.0527311
0.51 0.0160323 0.016499 0.0144299 0.0191142 0.0338948
0.515 -0.00322435 -0.00265924 -0.00455134 -6.12336e-05 0.0151786
0.52 -0.0222814 -0.0216227 -0.0233242 -0.0190573 -0.00340394
0.525 -0.0411257 -0.0403799 -0.0418778 -0.0378612 -0.0218395
0.53 -0.0597445 -0.0589194 -0.0602015 -0.0564601 -0.0401148
0.535 -0.0781251 -0.07723 -0.0782852 -0.0748416 -0.0582168
0.54 -0.0962555 -0.0953003 -0.0961188 -0.0929932 -0.0761326
0.545 -0.114124 -0.113119 -0.113693 -0.110903 -0.0938494
0.55 -0.131718 -0.130676 -0.130998 -0.128559 -0.111355
0.555 -0.149028 -0.147959 -0.148025 -0.14595 -0.128636
0.56 -0.166042 -0.164959 -0.164765 -0.163064 -0.145682
0.565 -0.18275 -0.181664 -0.18121 -0.17989 -0.16248
0.57 -0.199141 -0.198064 -0.197351 -0.196418 -0.179018
0.575 -0.215207 -0.21415 -0.213182 -0.212637 -0.195286
0.58 -0.230938 -0.229911 -0.228693 -0.228537 -0.211272
0.585 -0.246324 -0.245337 -0.243877 -0.244107 -0.226965
0.59 -0.261358 -0.260421 -0.258728 -0.259338 -0.242355
0.595 -0.276031 -0.275152 -0.273238 -0.274222 -0.257432
0.6 -0.290336 -0.289523 -0.2874 -0.288748 -0.272186
0.605 -0.304265 -0.303524 -0.301209 -0.302909 -0.286607
0.61 -0.317811 -0.317149 -0.314657 -0.316696 -0.300686
0.615 -0.330967 -0.330391 -0.327739 -0.330101 -0.314414
0.62 -0.343729 -0.343241 -0.340449 -0.343117 -0.327783
0.625 -0.35609 -0.355695 -0.352781 -0.355737 -0.340785
0.63 -0.368044 -0.367745 -0.364731 -0.367953 -0.353411
0.635 -0.379587 -0.379386 -0.376292 -0.379761 -0.365655
0.64 -0.390715 -0.390614 -0.38746 -0.391153 -0.377509
0.645 -0.401424 -0.401422 -0.398231 -0.402124 -0.388967
0.65 -0.411709 -0.411808 -0.4086 -0.412669 -0.400023
0.655 -0.421568 -0.421766 -0.418564 -0.422784 -0.410671
0.66 -0.430998 -0.431295 -0.428117 -0.432464 -0.420905
0.665 -0.439997 -0.440389 -0.437258 -0.441706 -0.43072
0.67 -0.448563 -0.449048 -0.445982 -0.450505 -0.440113
0.675 -0.456694 -0.45727 -0.454287 -0.45886 -0.449079
0.68 -0.464389 -0.465051 -0.46217 -0.466768 -0.457613
0.685 -0.471647 -0.472391 -0.469629 -0.474227 -0.465714
0.69 -0.478469 -0.47929 -0.476662 -0.481235 -0.473378
0.695 -0.484853 -0.485746 -0.483268 -0.487792 -0.480603
0.7 -0.490802 -0.491761 -0.489444 -0.493896 -0.487387
0.705 -0.496315 -0.497333 -0.495191 -0.499548 -0.493728
0.71 -0.501393 -0.502465 -0.500507 -0.504748 -0.499625
0.715 -0.506039 -0.507156 -0.505393 -0.509496 -0.505078
0.72 -0.510254 -0.51141 -0.509848 -0.513795 -0.510087
0.725 -0.51404 -0.515228 -0.513874 -0.517646 -0.514652
0.73 -0.517401 -0.518611 -0.51747 -0.52105 -0.518772
0.735 -0.520339 -0.521564 -0.520639 -0.524011 -0.522451
0.74 -0.522858 -0.524089 -0.523382 -0.526532 -0.525688
0.745 -0.52496 -0.52619 -0.525701 -0.528616 -0.528487
0.75 -0.526652 -0.527871 -0.527599 -0.530267 -0.530849
0.755 -0.527935 -0.529136 -0.529079 -0.53149 -0.532777
0.76 -0.528816 -0.529989 -0.530144 -0.532289 -0.534274
0.765 -0.5293 -0.530436 -0.530798 -0.53267 -0.535344
0.77 -0.52939 -0.530482 -0.531045 -0.532638 -0.535991
0.775 -0.529094 -0.530133 -0.530889 -0.5322 -0.53622
0.78 -0.528416 -0.529394 -0.530335 -0.531361 -0.536034
0.785 -0.527363 -0.528271 -0.529389 -0.530129 -0.53544
0.79 -0.52594 -0.526773 -0.528057 -0.528511 -0.534442
0.795 -0.524156 -0.524904 -0.526344 -0.526514 -0.533047
0.8 -0.522016 -0.522673 -0.524258 -0.524146 -0.531261
0.805 -0.519527 -0.520087 -0.521803 -0.521416 -0.529089
0.81 -0.516696 -0.517153 -0.518989 -0.518332 -0.52654
0.815 -0.513531 -0.51388 -0.515823 -0.514903 -0.52362
0.82 -0.51004 -0.510275 -0.512311 -0.511137 -0.520337
0.825 -0.506231 -0.506348 -0.508463 -0.507046 -0.516698
0.83 -0.50211 -0.502107 -0.504287 -0.502637 -0.512712
0.835 -0.497687 -0.49756 -0.499792 -0.497921 -0.508386
0.84 -0.49297 -0.492717 -0.494986 -0.492908 -0.503731
0.845 -0.487967 -0.487587 -0.489879 -0.487609 -0.498754
0.85 -0.482687 -0.48218 -0.48448 -0.482034 -0.493464
0.855 -0.477138 -0.476504 -0.4788 -0.476193 -0.487872
0.86 -0.471329 -0.47057 -0.472848 -0.470098 -0.481986
0.865 -0.465269 -0.464388 -0.466635 -0.46376 -0.475816
0.87 -0.458968 -0.457968 -0.46017 -0.457189 -0.469373
0.875 -0.452433 -0.451319 -0.453465 -0.450397 -0.462666
0.88 -0.445675 -0.444452 -0.446529 -0.443396 -0.455706
0.885 -0.438702 -0.437378 -0.439375 -0.436197 -0.448502
0.89 -0.431524 -0.430106 -0.432012 -0.428811 -0.441067
0.895 -0.424151 -0.422647 -0.424451 -0.421249 -0.43341
0.9 -0.41659 -0.415011 -0.416705 -0.413524 -0.425543
0.905 -0.408853 -0.40721 -0.408783 -0.405647 -0.417476
0.91 -0.400947 -0.399253 -0.400697 -0.397629 -0.40922
0.915 -0.392883 -0.391152 -0.392459 -0.389482 -0.400787
0.92 -0.38467 -0.382916 -0.384079 -0.381218 -0.392187
0.925 -0.376317 -0.374556 -0.375569 -0.372847 -0.383432
0.93 -0.367834 -0.366083 -0.366939 -0.364381 -0.374533
0.935 -0.35923 -0.357507 -0.358201 -0.355832 -0.365501
0.94 -0.350513 -0.348839 -0.349367 -0.34721 -0.356347
0.945 -0.341694 -0.340089 -0.340446 -0.338526 -0.347083
0.95 -0.332782 -0.331267 -0.33145 -0.329792 -0.33772
0.955 -0.323784 -0.322383 -0.322389 -0.321017 -0.328269
0.96 -0.314712 -0.313448 -0.313275 -0.312212 -0.318741
0.965 -0.305573 -0.304472 -0.304117 -0.303389 -0.309147
0.97 -0.296376 -0.295463 -0.294926 -0.294556 -0.299497
0.975 -0.28713 -0.286433 -0.285713 -0.285724 -0.289804
0.98 -0.277843 -0.277391 -0.276486 -0.276902 -0.280077
0.985 -0.268525 -0.268345 -0.267257 -0.2681 -0.270328
0.99 -0.259183 -0.259307 -0.258035 -0.259327 -0.260566
0.995 -0.249826 -0.250283 -0.248828 -0.250593 -0.250802
1 -0.240462 -0.241284 -0.239647 -0.241905 -0.241046
